number,business_name,website
+19103323800,EmergeOrtho Clayton | Orthopedic Clinic,https://emergeortho.com/locations/burgaw/
+19103323800,"EmergeOrtho Hendersonville, NC | Orthopedic Clinic",https://emergeortho.com/locations/burgaw/
+18285130945,"EmergeOrtho Asheville, NC - Livingston Street | Orthopedic Clinic",https://emergeortho.com/blue-ridge-region/?region=blue-ridge-region&utm_source=gbp
+18285130945,EmergeOrtho Valdese Orthopedic Clinic,https://emergeortho.com/blue-ridge-region/?region=blue-ridge-region&utm_source=gbp
+18285130945,"Dr. James R. Post, MD",https://emergeortho.com/blue-ridge-region/?region=blue-ridge-region&utm_source=gbp
+19198723171,OrthoCarolina Sports Medicine Center,http://www.raleighhand.com/
+19198723171,EmergeOrtho Morganton Orthopedic Clinic,http://www.raleighhand.com/
+19198723171,Atrium Health Wake Forest Baptist Orthopaedics and Sports Medicine - Asheboro,http://www.raleighhand.com/
+19198723171,Wilmington Health Orthopedics and Sports Medicine,http://www.raleighhand.com/
+19103413498,Carolina Joint and Arthritis,https://www.wilmingtonhealth.com/specialties/orthopaedic-surgery/?utm_source=googlebusiness&utm_medium=organic&utm_campaign=locallistings
+19103413498,EmergeOrtho Newton Orthopedic Clinic,https://www.wilmingtonhealth.com/specialties/orthopaedic-surgery/?utm_source=googlebusiness&utm_medium=organic&utm_campaign=locallistings
+18284596824,OrthoNC: Oxford Orthopaedic Clinic,https://emergeortho.com/locations/newton/?region=foothills-region&utm_source=google&utm_medium=organic&utm_campaign=gbp_newton_foothills
+18284596824,EmergeOrtho - Wilmington - Ashton,https://emergeortho.com/locations/newton/?region=foothills-region&utm_source=google&utm_medium=organic&utm_campaign=gbp_newton_foothills
+19103323800,"EmergeOrtho South Asheville, NC | Orthopedic Clinic",https://emergeortho.com/locations/wilmington-ashton/?region=coastal-region
+18283487119,Dr. Curtis A. Hanson,https://emergeortho.com/blue-ridge-region/?region=blue-ridge-region&utm_source=gbp
+18283487119,EmergeOrtho - Wilmington - Shipyard,https://emergeortho.com/blue-ridge-region/?region=blue-ridge-region&utm_source=gbp
+18283487119,OrthoCarolina Pineville,https://emergeortho.com/blue-ridge-region/?region=blue-ridge-region&utm_source=gbp
+18283487119,"Joseph U. Barker, MD",https://emergeortho.com/blue-ridge-region/?region=blue-ridge-region&utm_source=gbp
,Alabama Bone & Joint Clinic,https://alabamaboneandjoint.com/
+13342749000,OrthoAlabama Spine & Sports,https://al.hughston.com/locations/montgomery-lomac/?utm_source=GMB&utm_medium=MontgomeryLomacClinic
+12052287600,Andrews Sports Medicine,https://www.orthoalabama.com/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite
+12058584330,Alabama Orthopedic Specialists,https://www.andrewssportsmedicine.com/locations/st-vincents-birmingham?utm_source=gmb-main&utm_medium=organic&campaign=local&utm_content=St-Vincents-Birmingham
+13342749000,Southern Orthopaedic Surgeons,https://hughston.com/2022/04/13/alabama-orthopedic-specialists-join-the-hughston-clinic-orthopaedics-team/
+13342749000,"The Orthopaedic Group, P.C.",https://hughston.com/2022/04/13/alabama-orthopedic-specialists-join-the-hughston-clinic-orthopaedics-team/
+12514765050,Urgent Ortho by Southern Orthopaedic Surgeons,http://www.theorthogroup.com/contact/airport-boulevard/
+12514765050,"David P. Adkison, MD - St. Vincent's Orthopedics",http://www.theorthogroup.com/contact/airport-boulevard/
+12514765050,"Amit Momaya, MD -- UAB Sports Medicine Orthopedic Surgeon",http://www.theorthogroup.com/contact/airport-boulevard/
+12059752663,"Kenneth Bramlett, MD",https://momayamd.com/
+12059752663,Mississippi Sports Medicine and Orthopedic Center - Winfield,https://momayamd.com/
+12059752663,"St Vincent’s OrthopedIcs PC - James ""Rusty"" Bowman, III, MD, PhD",https://momayamd.com/
+12059337838,Hughston Clinic Montgomery (Pavilion),http://www.stvortho.com/
+12059337838,"Joseph F. Curtis, MD",http://www.stvortho.com/
+13345093904,"Hughston Clinic - Hussein W. Turki, M.D.",https://www.sos-ortho.com/providers/joseph-f-curtis-m-d/?utm_source=GMBSocialClimb&utm_medium=JosephF.Curtis%2CMD
+13345093904,Alabama Orthopedic Center PC,https://www.sos-ortho.com/providers/joseph-f-curtis-m-d/?utm_source=GMBSocialClimb&utm_medium=JosephF.Curtis%2CMD
+12058026700,"Tyler J. Marshall, M.D.",https://alabamaboneandjoint.com/
+12058026700,The Orthopaedic Center,https://alabamaboneandjoint.com/
